ID,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_product,prior_purchases,product_importance,gender,discount_percentage,weight_in_grams,reached_on_time,customer_rating_string,weight_in_kg_binned,prior_purchases_binned,user_segmentation
1,D,Flight,4,2,2885985,3,low,F,44,1233,No,Dissatisfied,1-2.5kg,2-4,Bronze
2,E,Flight,4,5,3521880,2,low,M,59,3088,No,Satisfied,2.5-4kg,2-4,Bronze
3,A,Flight,2,2,2983815,4,low,M,48,3374,No,Dissatisfied,2.5-4kg,2-4,Bronze
4,B,Flight,3,3,2869680,4,medium,M,10,1177,No,Neutral,1-2.5kg,2-4,Bronze
5,C,Flight,2,2,3000120,3,medium,F,46,2484,No,Dissatisfied,1-2.5kg,2-4,Bronze
6,E,Flight,3,1,2641410,3,medium,F,12,1417,No,Dissatisfied,1-2.5kg,2-4,Bronze
7,D,Flight,3,4,4076250,3,low,F,3,2371,No,Satisfied,1-2.5kg,2-4,Bronze
8,E,Flight,4,1,3799065,2,low,F,48,2804,No,Dissatisfied,2.5-4kg,2-4,Bronze
9,A,Flight,3,4,2445750,3,low,F,11,1861,No,Satisfied,1-2.5kg,2-4,Bronze
10,B,Flight,3,2,2674020,3,medium,F,29,1187,No,Dissatisfied,1-2.5kg,2-4,Bronze
11,C,Flight,3,4,3081645,2,medium,M,12,2888,No,Satisfied,2.5-4kg,2-4,Bronze
12,E,Flight,4,5,3782760,3,medium,F,32,3253,No,Satisfied,2.5-4kg,2-4,Bronze
13,D,Flight,3,5,3228390,3,medium,F,1,3667,No,Satisfied,2.5-4kg,2-4,Bronze
14,E,Flight,4,4,4483875,3,high,M,29,2602,No,Satisfied,2.5-4kg,2-4,Bronze
15,A,Flight,4,3,2478360,3,low,M,43,1009,No,Neutral,1-2.5kg,2-4,Bronze
16,B,Flight,4,3,3701235,3,low,F,45,2707,No,Neutral,2.5-4kg,2-4,Bronze
17,C,Flight,3,4,2331615,2,medium,F,6,1194,No,Satisfied,1-2.5kg,2-4,Bronze
18,E,Ship,5,5,3701235,3,medium,M,36,3952,No,Satisfied,2.5-4kg,2-4,Bronze
19,D,Ship,5,5,3896895,3,high,M,18,2495,No,Satisfied,1-2.5kg,2-4,Bronze
20,E,Ship,4,5,2364225,3,medium,M,45,1059,No,Satisfied,1-2.5kg,2-4,Bronze
21,A,Ship,3,3,2625105,2,medium,F,38,1521,No,Neutral,1-2.5kg,2-4,Bronze
22,B,Ship,3,1,3782760,4,medium,F,51,2899,No,Dissatisfied,2.5-4kg,2-4,Bronze
23,C,Ship,2,5,2543580,2,low,M,2,1750,No,Satisfied,1-2.5kg,2-4,Bronze
24,E,Ship,4,3,3440355,3,high,M,12,3922,No,Neutral,2.5-4kg,2-4,Bronze
25,D,Ship,4,5,4092555,2,medium,F,28,3561,No,Satisfied,2.5-4kg,2-4,Bronze
26,E,Ship,3,1,3668625,4,low,M,29,3496,No,Dissatisfied,2.5-4kg,2-4,Bronze
27,A,Ship,4,1,2804460,3,high,F,24,1066,No,Dissatisfied,1-2.5kg,2-4,Bronze
28,B,Ship,5,1,2641410,3,medium,M,31,1435,No,Dissatisfied,1-2.5kg,2-4,Bronze
29,C,Ship,2,3,3815370,4,low,M,44,3134,No,Neutral,2.5-4kg,2-4,Bronze
30,E,Ship,5,4,2983815,2,low,F,36,3819,No,Satisfied,2.5-4kg,2-4,Bronze
31,D,Ship,3,4,4337130,2,medium,F,38,2741,No,Satisfied,2.5-4kg,2-4,Bronze
32,E,Ship,5,3,4190385,2,low,F,61,3341,No,Neutral,2.5-4kg,2-4,Bronze
33,A,Ship,3,1,3636015,3,low,F,22,3795,No,Dissatisfied,2.5-4kg,2-4,Bronze
34,B,Ship,4,2,3815370,3,medium,M,4,3261,No,Dissatisfied,2.5-4kg,2-4,Bronze
35,C,Ship,4,2,3701235,4,medium,F,22,2460,No,Dissatisfied,1-2.5kg,2-4,Bronze
36,E,Ship,5,4,2429445,3,medium,F,44,1811,No,Satisfied,1-2.5kg,2-4,Bronze
37,D,Ship,3,5,2233785,4,high,F,62,1477,No,Satisfied,1-2.5kg,2-4,Bronze
38,E,Ship,2,4,2951205,6,medium,F,16,3605,No,Satisfied,2.5-4kg,4-6,Silver
39,A,Ship,5,1,3505575,4,low,F,56,3905,No,Dissatisfied,2.5-4kg,2-4,Bronze
40,B,Ship,4,2,4386045,5,low,F,45,2383,No,Dissatisfied,1-2.5kg,4-6,Silver
41,C,Ship,5,1,3701235,2,low,M,15,3798,No,Dissatisfied,2.5-4kg,2-4,Bronze
42,E,Ship,5,5,2266395,4,medium,M,61,1265,No,Satisfied,1-2.5kg,2-4,Bronze
43,D,Ship,3,5,2233785,2,medium,M,38,1647,No,Satisfied,1-2.5kg,2-4,Bronze
44,E,Ship,3,1,2837070,2,low,M,44,1556,No,Dissatisfied,1-2.5kg,2-4,Bronze
